OPEN 25.09.2018;MAX 25.09.2018;MIN 25.09.2018;CLOSE 25.09.2018;OPEN 23.10.2018;MAX 23.10.2018;MIN 23.10.2018;CLOSE 23.10.2018;OPEN 23.11.2018;MAX 23.11.2018;MIN 23.11.2018;CLOSE 23.11.2018;OPEN 03.12.2018;MAX 03.12.2018;MIN 03.12.2018;CLOSE 03.12.2018
114940;115000;114910;114980;110490;110560;110450;110480;112580;112580;112560;112580;115340;115350;115280;115280
114980;114990;114900;114920;110470;110500;110400;110410;112590;112600;112590;112600;115270;115330;115270;115300
114930;114950;114850;114950;110400;110510;110400;110500;112580;112590;112570;112580;115310;115340;115300;115340
114950;114980;114920;114980;110500;110600;110500;110560;112590;112600;112570;112570;115350;115410;115340;115390
114970;114970;114910;114930;110560;110630;110550;110580;112570;112600;112550;112560;115390;115480;115390;115430
114910;114960;114890;114960;110580;110620;110550;110550;112550;112570;112510;112560;115430;115460;115370;115370
114940;115000;114900;115000;110550;110550;110470;110530;112570;112570;112510;112510;115380;115380;115280;115280
114990;115030;114950;114990;110520;110530;110450;110470;112510;112560;112500;112560;115280;115300;115260;115280
114990;115050;114990;115020;110480;110550;110470;110520;112550;112560;112550;112550;115290;115320;115260;115260
115020;115020;114930;114950;110540;110570;110520;110570;112550;112550;112530;112550;115270;115280;115250;115250
114960;115010;114950;114960;110560;110610;110460;110490;112550;112570;112530;112560;115250;115250;115140;115180
114960;114960;114900;114910;110490;110520;110400;110420;112560;112600;112540;112590;115170;115190;115140;115160
114900;114930;114890;114920;110430;110530;110410;110530;112600;112600;112580;112580;115150;115240;115150;115190
114930;114970;114890;114890;110530;110580;110530;110570;112570;112590;112560;112570;115190;115260;115170;115220
114900;114910;114860;114910;110570;110710;110560;110660;112550;112600;112550;112580;115220;115280;115200;115270
114900;114950;114890;114950;110660;110700;110620;110630;112590;112650;112590;112650;115260;115300;115240;115260
114940;114970;114900;114900;110640;110660;110620;110630;112650;112730;112640;112700;115260;115260;115190;115200
114900;114940;114880;114910;110620;110640;110580;110620;112690;112710;112650;112670;115200;115220;115170;115200
114930;114940;114840;114850;110610;110720;110600;110690;112670;112670;112630;112660;115200;115220;115200;115220
114850;114870;114820;114840;110680;110780;110670;110720;112650;112670;112610;112610;115220;115260;115210;115250
114840;114870;114820;114830;110730;110760;110680;110700;112610;112630;112580;112590;115230;115260;115190;115260
114840;114890;114830;114880;110690;110740;110670;110730;112600;112620;112580;112580;115250;115310;115220;115240
114860;114900;114820;114870;110720;110760;110670;110730;112580;112590;112540;112590;115240;115280;115200;115230
114890;114900;114850;114870;110730;110820;110720;110790;112580;112590;112550;112560;115220;115240;115130;115180
114860;114900;114830;114840;110800;110830;110780;110790;112550;112580;112520;112540;115180;115230;115170;115220
114850;114870;114830;114830;110790;110850;110780;110830;112560;112560;112520;112560;115220;115260;115210;115240
114820;114860;114810;114850;110820;110940;110810;110900;112560;112570;112550;112570;115240;115280;115230;115240
114850;114850;114780;114800;110890;110940;110880;110910;112560;112580;112560;112570;115230;115250;115210;115240
114790;114810;114760;114770;110910;110910;110830;110850;112560;112570;112550;112570;115240;115240;115180;115200
114790;114800;114720;114750;110850;110860;110800;110800;112560;112570;112500;112530;115200;115220;115180;115190
114750;114760;114730;114750;110800;110820;110750;110770;112520;112530;112500;112520;115210;115230;115210;115230
114740;114800;114740;114790;110760;110790;110660;110720;112510;112540;112510;112510;115230;115250;115220;115240
114790;114860;114770;114850;110720;110790;110710;110770;112520;112520;112320;112330;115230;115250;115220;115240
114850;114880;114790;114870;110760;110810;110730;110760;112320;112330;112180;112180;115240;115370;115220;115250
114850;114880;114830;114880;110760;110810;110620;110670;112180;112260;112150;112190;115250;115260;115200;115210
114880;114920;114870;114900;110660;110680;110600;110650;112200;112240;112110;112120;115210;115240;115170;115190
114910;114980;114900;114970;110650;110660;110600;110650;112120;112130;112030;112080;115180;115210;115160;115170
114960;114990;114900;114920;110650;110670;110550;110560;112080;112150;112050;112120;115170;115200;115140;115170
114920;114960;114920;114950;110560;110580;110510;110570;112120;112150;112070;112100;115170;115170;115110;115140
114950;114990;114930;114980;110570;110650;110570;110620;112100;112110;111980;112010;115140;115220;115120;115200
114970;115030;114970;115030;110620;110620;110560;110620;112010;112010;111830;111830;115220;115250;115210;115220
115040;115110;114990;115090;110630;110700;110600;110700;111850;111920;111770;111810;115220;115260;115210;115230
115100;115140;115080;115110;110690;110710;110630;110660;111810;111840;111740;111800;115240;115250;115180;115210
115120;115160;115100;115160;110660;110690;110660;110670;111810;111850;111740;111810;115220;115250;115150;115240
115150;115200;115150;115180;110680;110700;110610;110640;111830;111830;111750;111790;115240;115280;115230;115260
115170;115190;115110;115110;110650;110650;110620;110630;111790;111870;111760;111850;115270;115290;115250;115250
115120;115130;115100;115100;110620;110640;110590;110640;111850;111920;111830;111880;115250;115260;115210;115250
115110;115170;115100;115150;110630;110740;110630;110700;111870;111930;111860;111920;115240;115250;115230;115240
115140;115160;115110;115130;110700;110720;110660;110670;111910;111960;111850;111930;115240;115260;115220;115260
115130;115180;115120;115170;110660;110710;110620;110690;111930;111940;111850;111900;115260;115270;115210;115230
115180;115270;115160;115270;110690;110700;110670;110670;111900;111910;111860;111890;115230;115230;115190;115200
115260;115320;115230;115260;110660;110690;110660;110660;111880;111940;111850;111920;115200;115240;115200;115230
115260;115270;115230;115240;110650;110690;110560;110560;111940;111940;111870;111910;115220;115240;115200;115230
115240;115280;115240;115270;110560;110620;110560;110600;111900;111930;111850;111850;115230;115270;115210;115210
115250;115320;115250;115270;110600;110670;110590;110630;111870;111880;111820;111870;115220;115250;115190;115190
115270;115290;115250;115270;110630;110690;110550;110630;111870;111900;111840;111870;115200;115210;115170;115190
115280;115290;115220;115270;110630;110690;110580;110650;111870;111890;111840;111870;115200;115220;115180;115190
115260;115310;115240;115280;110650;110680;110620;110630;111880;111940;111880;111920;115190;115200;115180;115180
115290;115310;115250;115250;110620;110740;110620;110680;111920;111920;111840;111920;115180;115220;115180;115190
115250;115260;115210;115210;110670;110670;110610;110620;111920;111920;111690;111710;115190;115230;115190;115230
115210;115290;115200;115230;110620;110690;110590;110660;111710;111830;111660;111810;115230;115250;115210;115230
